Rank,Previous Rank,Company,Location,Industry,Revenue,Profit %,CEO Pay Ratio,Women on Board %,Women in Leadership %,Women in Workforce %,Climate Grade,Sustainability Initiatives
18,,Alstom SA,"Saint-Ouen, France",Non-road transport equipment manufacturing,"$ 111,827",11%,31:01,38.0,84.0,92.0,B+,SBTi
20,10,Dassault Systèmes SE,"Vélizy-Villacoublay, France",IT services except telecom and hosting,"$ 318,772",14%,27:01,50.0,66.0,6.0,B+,"1.5°C, SBTi"
22,28,City Developments Ltd,"Singapore, Singapore",Real estate,"$ 25,789",17%,38:01,20.0,54.0,64.0,B+,"1.5°C, SBTi"
23,,Trane Technologies PLC,"Swords, Ireland",HVAC equipment manufacturing,"$ 44,213",25%,126:01,45.0,38.0,29.0,B+,"1.5°C, SBTi"
24,,United Utilities Group PLC,"Warrington, U.K.",Water and sewage treatment,"$ 10,544",3%,71:01,40.0,42.0,100.0,B+,"1.5°C, SBTi"
26,,Wheaton Precious Metals Corp,"Vancouver, Canada",Asset management,"$ 33,251,733",0%,5:01,30.0,21.0,0.0,B,SBTi
28,54,ERG SpA,"Genoa, Italy",Power generation,"$ 2,342",9%,22:01,42.0,52.0,100.0,B,"1.5°C, SBTi"
29,74,Kesko Oyj,"Helsinki, Finland",Grocery stores,"$ 124,317",9%,110:01,29.0,3.0,10.0,B,"1.5°C, SBTi"
31,58,Severn Trent PLC,"Coventry, U.K.",Water and sewage treatment,"$ 5,751",2%,64:01,56.0,50.0,100.0,B,"1.5°C, SBTi"
34,46,First Solar Inc,"Tempe, U.S.",Semiconductor and electronic components manufacturing,"$ 4,270",15%,,25.0,100.0,100.0,B,"1.5°C, SBTi"
35,53,Eisai Co Ltd,"Tokyo, Japan",Pharmaceutical and biotech manufacturing,"$ 188,590",16%,10:01,18.0,49.0,22.0,B,"1.5°C, SBTi"
38,20,Cascades Inc,"Kingsey Falls, Canada",Packaging,"$ 4,763",3%,66:01,38.0,88.0,86.0,B,SBTi
39,,EDP Renováveis SA,"Madrid, Spain",Power generation,,2%,7:01,33.0,100.0,100.0,B,SBTi
41,49,Atea ASA,"Oslo, Norway",Computers and peripherals manufacturing,"$ 483,930",12%,23:01,38.0,57.0,38.0,B,SBTi
45,31,Kering SA,"Paris, France","Retail, except grocery and auto","$ 261,469",28%,151:01,46.0,26.0,5.0,B-,"1.5°C, SBTi, FCCA"
46,86,Tesla Inc,"Austin, U.S.","Cars and trucks manufacturing, including parts","$ 133,544",6%,,25.0,100.0,100.0,B-,"1.5°C, SBTi"
47,,Umicore SA,"Brussels, Belgium",Basic inorganic chemicals and synthetics,"$ 57,259",17%,32:01,40.0,12.0,63.0,B-,SBTi
48,41,SAP SE,"Walldorf, Germany",IT services except telecom and hosting,"$ 168,329",28%,30:01,44.0,30.0,3.0,B-,"1.5°C, SBTi"
49,22,McCormick & Company Inc,"Hunt Valley, U.S.",Food and beverage manufacturing,"$ 80,976",14%,,36.0,46.0,22.0,B-,"1.5°C, SBTi"
51,42,BCE Inc,"Verdun, Canada",Telecom providers,"$ 75,217",8%,137:01,36.0,24.0,78.0,B-,"1.5°C, SBTi"
53,,Novo Nordisk A/S,"Bagsvaerd, Denmark",Pharmaceutical and biotech manufacturing,"$ 336,603",19%,76:01,46.0,4.0,0.0,B-,"1.5°C, SBTi"
54,47,Puma SE,"Erlangen, Germany",Textiles and clothing manufacturing,"$ 312,773",17%,226:01,33.0,54.0,0.0,B-,"SBTi, FCCA"
57,59,Intesa Sanpaolo SpA,"Turin, Italy",Banks,"$ 195,778",26%,102:01,42.0,16.0,0.0,B-,"1.5°C, SBTi, NZBA"
58,23,Novozymes A/S,"Bagsvaerd, Denmark",Pharmaceutical and biotech manufacturing,"$ 7,348",16%,35:01,27.0,67.0,14.0,C+,"1.5°C, SBTi"
59,,Elisa Oyj,"Helsinki, Finland",Telecom providers,"$ 57,863",11%,31:01,38.0,16.0,63.0,C+,"1.5°C, SBTi"
60,89,Arçelik AS,"Istanbul, Turkey",Appliances and lighting fixtures manufacturing,"$ 224,900",6%,,17.0,10.0,15.0,C+,"1.5°C, SBTi"
61,,Pirelli & C SpA,"Milan, Italy",Plastic and rubber product manufacturing,"$ 14,318",12%,548:01,20.0,23.0,16.0,C+,"1.5°C, SBTi"
62,,Singapore Telecommunications Ltd,"Singapore, Singapore",Telecom providers,"$ 37,135",7%,28:01,43.0,12.0,60.0,C+,"1.5°C, SBTi"
64,48,Cisco Systems Inc,"San Jose, U.S.",Telephones and telecom equipment manufacturing,"$ 86,080",22%,366:01,42.0,42.0,0.0,C+,"1.5°C, SBTi"
65,68,KB Financial Group Inc,"Seoul, South Korea",Banks,"$ 142,713",25%,11:01,33.0,6.0,0.0,C+,"1.5°C, SBTi, NZBA"
66,61,Sanofi SA,"Paris, France",Pharmaceutical and biotech manufacturing,"$ 93,914",17%,98:01,38.0,27.0,10.0,C+,"1.5°C, SBTi"
67,39,HP Inc,"Palo Alto, U.S.",Computers and peripherals manufacturing,"$ 259,083",15%,787:01,46.0,78.0,0.0,C+,"1.5°C, SBTi"
68,52,Essity AB (publ),"Stockholm, Sweden",Packaging,"$ 6,803",13%,65:01,38.0,33.0,10.0,C+,"1.5°C, SBTi"
69,,Equinix Inc,"Redwood City, U.S.","Data processing, hosting services","$ 2,970",4%,,40.0,48.0,1.0,C+,SBTi
70,,Unibail-Rodamco-Westfield SE,"Paris, France",Real estate,"$ 29,790",4%,26:01,50.0,50.0,8.0,C+,"1.5°C, SBTi"
71,73,Apple Inc,"Cupertino, U.S.",Telephones and telecom equipment manufacturing,"$ 351,888",16%,,33.0,70.0,1.0,C+,"1.5°C, SBTi"
72,80,Ricoh Co Ltd,"Tokyo, Japan",Computers and peripherals manufacturing,"$ 70,161",19%,17:01,13.0,51.0,34.0,C+,"1.5°C, SBTi"
73,45,Cogeco Communications Inc,"Montreal, Canada",Telecom providers,"$ 77,783",6%,54:01,50.0,26.0,28.0,C+,"1.5°C, SBTi"
76,38,Unilever PLC,"London, U.K.",Personal products (retail chemical),"$ 53,579",23%,98:01,38.0,2.0,4.0,C+,"1.5°C, SBTi"
77,36,Xerox Holdings Corp,"Norwalk, U.S.",Computers and peripherals manufacturing,"$ 56,147",6%,,25.0,75.0,11.0,C,"1.5°C, SBTi"
78,43,Coloplast A/S,"Humlebæk, Denmark",Medical equipment manufacturing,"$ 71,029",19%,43:01,33.0,9.0,0.0,C,"1.5°C, SBTi"
80,34,StarHub Ltd,"Singapore, Singapore",Telecom providers,"$ 50,109",13%,17:01,25.0,8.0,57.0,C,"1.5°C, SBTi"
81,67,Hewlett Packard Enterprise Co,"Spring, U.S.",Computers and peripherals manufacturing,"$ 93,302",7%,,46.0,33.0,39.0,C,"1.5°C, SBTi"
82,72,Svenska Handelsbanken AB,"Stockholm, Sweden",Banks,"$ 1,052,698",26%,17:01,57.0,7.0,0.0,C,"1.5°C, SBTi, NZBA"
84,70,Orkla ASA,"Oslo, Norway",Food and beverage manufacturing,"$ 33,788",17%,17:01,45.0,23.0,3.0,C,"1.5°C, SBTi"
85,37,Telus Corp,"Vancouver, Canada",Telecom providers,"$ 64,565",8%,338:01,43.0,26.0,23.0,C,"1.5°C, SBTi"
86,81,Henkel AG & Co KgaA,"Düsseldorf, Germany",Personal products (retail chemical),"$ 58,936",19%,132:01,44.0,21.0,1.0,C,"1.5°C, SBTi, NZAM"
87,,Prologis Inc,"San Francisco, U.S.",Real estate and leasing,"$ 1,614,690",3%,170:01,27.0,2.0,4.0,C,"1.5°C, SBTi"
89,85,Commerzbank AG,"Frankfurt am Main, Germany",Banks,"$ 423,236",16%,36:01,45.0,5.0,0.0,C,"SBTi, NZAM, NZBA"
90,71,BNP Paribas SA,"Paris, France",Banks,"$ 320,421",13%,55:01,53.0,8.0,0.0,C,"SBTi, NZAM, NZAO, NZBA"
97,,Biomérieux SA,"Marcy lÉtoile, France",Medical equipment manufacturing,"$ 75,374",18%,18:01,44.0,6.0,0.0,C-,SBTi
98,,Manulife Financial Corp,"Toronto, Canada",Insurance companies,"$ 206,669",11%,155:01,58.0,6.0,0.0,C-,"1.5°C, SBTi"
99,57,Sino Land Co Ltd,"Hong Kong, China",Real estate,"$ 10,127",20%,50:01,8.0,50.0,12.0,C-,"1.5°C, SBTi"
100,,Sysmex Corp,"Kobe, Japan",Instrumentation and other electronic manufacturing,"$ 154,501",20%,22:1,8.0,37.0,0.0,C-,SBTi
